prompt_id,task_family,outcome,n_trials,within_prompt_js,between_prompt_js,js_margin,js_ratio,within_prompt_tv,between_prompt_tv,tv_margin,tv_ratio,centroid_entropy,dominant_cluster,dominant_cluster_share
commonsense_003,commonsense_multihop,incorrect,10,0.22881701586429154,0.36113238691318844,0.1323153710488969,0.6336097900831481,0.34444444444444444,0.4790816326530612,0.13463718820861675,0.7189681694474027,1.6941294648699081,1,0.39166666666666666
commonsense_004,commonsense_multihop,correct,5,0.06749865693780262,0.2816584076078089,0.2141597506700063,0.23964722910664937,0.15,0.3956802721088435,0.2456802721088435,0.3790939568469011,1.748015562159248,1,0.43
commonsense_004,commonsense_multihop,incorrect,10,0.2598846074559991,0.2816584076078089,0.021773800151809797,0.9226943007427337,0.36148148148148146,0.3956802721088435,0.03419879062736203,0.9135696342779641,1.735813045166712,3,0.47785714285714287
logic_001,symbolic_logic,correct,8,0.19227976823493667,0.33068740012920267,0.138407631894266,0.5814547762019695,0.31250000000000006,0.4582947043124034,0.14579470431240332,0.6818756513210324,1.7195992637807886,1,0.40327380952380953
logic_001,symbolic_logic,incorrect,7,0.10336799077298012,0.33068740012920267,0.22731940935622255,0.31258521108634096,0.21904761904761902,0.4582947043124034,0.23924708526478436,0.4779623613069331,1.520271146789173,1,0.42142857142857143
logic_002,symbolic_logic,correct,6,0.10816313639181505,0.17096181984443612,0.06279868345262107,0.6326742221756665,0.2111111111111111,0.29443716324450264,0.08332605213339153,0.7169988624561058,1.389640911570547,0,0.47222222222222215
logic_002,symbolic_logic,incorrect,9,0.10281592417447534,0.17096181984443612,0.06814589566996078,0.6013969918431553,0.20370370370370366,0.29443716324450264,0.09073345954079898,0.6918410076330844,1.3876892931631746,3,0.48148148148148145
logic_003,symbolic_logic,correct,6,0.11426693674331038,0.2145894955775236,0.10032255883421322,0.5324908213041107,0.1866666666666666,0.358810251929518,0.1721435852628514,0.5202378295014102,1.3757322138628407,3,0.611111111111111
logic_003,symbolic_logic,incorrect,9,0.018320258064297084,0.2145894955775236,0.19626923751322653,0.08537350821852611,0.12037037037037034,0.358810251929518,0.23843988155914764,0.33547082259515537,0.9960383613659185,3,0.537037037037037
logic_004,symbolic_logic,correct,12,0.09342613785655776,0.281160599362654,0.1877344615060962,0.33228744734624927,0.18686868686868682,0.4345502645502645,0.2476815776815777,0.4300277830047706,0.8524051786494786,0,0.7222222222222222
logic_004,symbolic_logic,incorrect,3,0.20751874963942185,0.281160599362654,0.07364184972323212,0.7380790555640926,0.3333333333333333,0.4345502645502645,0.1012169312169312,0.7670765859004018,0.6500224216483541,0,0.8333333333333334
temporal_001,temporal_ordering,correct,10,0.4088821739991777,0.4337338875493923,0.024851713550214594,0.9427028547604905,0.5367901234567902,0.5417283950617284,0.004938271604938205,0.9908842297174112,1.782209795516192,0,0.3511111111111111
temporal_001,temporal_ordering,incorrect,5,0.3014572913391029,0.4337338875493923,0.13227659621028942,0.6950282188978694,0.45666666666666667,0.5417283950617284,0.08506172839506176,0.8429808568824065,1.6414767381705868,4,0.5599999999999999
temporal_002,temporal_ordering,correct,11,0.2171009880976329,0.36958509933565764,0.15248411123802474,0.5874181304600203,0.33151515151515154,0.4725195094760312,0.14100435796087968,0.7015903996911429,1.422127602622697,4,0.606060606060606
temporal_002,temporal_ordering,incorrect,4,0.13885991357118502,0.36958509933565764,0.23072518576447262,0.37571837668994407,0.22222222222222218,0.4725195094760312,0.25029728725380906,0.4702921631080177,1.5167331769861219,4,0.5083333333333334
temporal_003,temporal_ordering,correct,7,0.2085408312737989,0.349349188041696,0.1408083567678971,0.5969409359237121,0.33174603174603173,0.45145853818420184,0.11971250643817011,0.7348316704349811,1.642602606262292,3,0.45
temporal_003,temporal_ordering,incorrect,8,0.23088853711422117,0.349349188041696,0.11846065092747485,0.6609104730097837,0.3541666666666666,0.45145853818420184,0.09729187151753527,0.7844943371569623,1.6687995517266299,3,0.4270833333333333
temporal_004,temporal_ordering,incorrect,15,0.06666666666666667,0.5472699064286727,0.48060323976200603,0.12181679621617479,0.06666666666666667,0.6200653594771243,0.5533986928104576,0.1075155475914409,1.1766796675107107,3,0.5
