row_index,error_family,own_family_projection_energy,best_other_projection_energy,projection_margin,proj_causal_substitution,proj_definition_substitution,proj_entity_swap,proj_numeric_distortion,proj_role_inversion
70,causal_substitution,0.1720765233039856,0.14647935330867767,0.025597169995307922,0.1720765233039856,0.1120465025305748,0.07308422774076462,0.14441777765750885,0.14647935330867767
71,definition_substitution,0.9724329710006714,0.12339265644550323,0.8490403145551682,0.04733174666762352,0.9724329710006714,0.03923821821808815,0.01476851012557745,0.12339265644550323
72,entity_swap,0.10510638356208801,0.11958163976669312,-0.014475256204605103,0.02634579688310623,0.11958163976669312,0.10510638356208801,0.006409571506083012,0.08541158586740494
73,numeric_distortion,0.23137706518173218,0.1409658044576645,0.09041126072406769,0.09800431877374649,0.1409658044576645,0.10801353305578232,0.23137706518173218,0.12401854246854782
74,role_inversion,0.6932395696640015,0.1136661246418953,0.5795734450221062,0.08178243786096573,0.1136661246418953,0.02641206607222557,0.03247329592704773,0.6932395696640015
75,causal_substitution,0.20451785624027252,0.1872614026069641,0.01725645363330841,0.20451785624027252,0.032118648290634155,0.1872614026069641,0.0789593979716301,0.08440764993429184
76,definition_substitution,0.052504878491163254,0.1567896008491516,-0.10428472235798836,0.03144679218530655,0.052504878491163254,0.1567896008491516,0.017910758033394814,0.09406774491071701
77,entity_swap,0.9547700881958008,0.06710260361433029,0.8876674845814705,0.06710260361433029,0.018930695950984955,0.9547700881958008,0.05141160264611244,0.06619744002819061
78,numeric_distortion,0.41156283020973206,0.265169233083725,0.14639359712600708,0.03802340105175972,0.014540521427989006,0.265169233083725,0.41156283020973206,0.09281221032142639
79,role_inversion,0.15613730251789093,0.09274274110794067,0.06339456140995026,0.06964662671089172,0.016471445560455322,0.09274274110794067,0.025844605639576912,0.15613730251789093
80,causal_substitution,0.008120142854750156,0.10576638579368591,-0.09764624293893576,0.008120142854750156,0.05517465993762016,0.10576638579368591,0.08833804726600647,0.089015431702137
81,definition_substitution,0.06787069141864777,0.14465996623039246,-0.07678927481174469,0.08746273815631866,0.06787069141864777,0.07458741962909698,0.10253001004457474,0.14465996623039246
82,entity_swap,0.2660134434700012,0.13387621939182281,0.1321372240781784,0.039878908544778824,0.03757849335670471,0.2660134434700012,0.13387621939182281,0.042443592101335526
83,numeric_distortion,0.5715923309326172,0.12673552334308624,0.44485680758953094,0.07523699104785919,0.022003719583153725,0.07195724546909332,0.5715923309326172,0.12673552334308624
84,role_inversion,0.31366395950317383,0.10901156812906265,0.20465239137411118,0.051120225340127945,0.015483491122722626,0.07871584594249725,0.10901156812906265,0.31366395950317383
85,causal_substitution,0.2112577259540558,0.11811379343271255,0.09314393252134323,0.2112577259540558,0.054305896162986755,0.03949757665395737,0.051117364317178726,0.11811379343271255
86,definition_substitution,0.07998575270175934,0.0997578501701355,-0.01977209746837616,0.0997578501701355,0.07998575270175934,0.01532712671905756,0.06993672251701355,0.07125930488109589
87,entity_swap,0.07390588521957397,0.08232881873846054,-0.008422933518886566,0.045248329639434814,0.013302049599587917,0.07390588521957397,0.06256259977817535,0.08232881873846054
88,numeric_distortion,0.12146606296300888,0.11005564779043198,0.011410415172576904,0.07705474644899368,0.026813320815563202,0.04773678258061409,0.12146606296300888,0.11005564779043198
