trace_id,task_family,outcome,best_static_axis,best_alignment,best_abs_alignment,residual_energy
trace_00018,symbolic_logic,correct,axis_2,-0.15452708303928375,0.15452708303928375,0.9879885315895081
trace_00018,symbolic_logic,correct,axis_1,0.14072832465171814,0.14072832465171814,0.9900482296943665
trace_00019,symbolic_logic,incorrect,axis_4,0.09512044489383698,0.09512044489383698,0.9954657554626465
trace_00019,symbolic_logic,incorrect,axis_5,-0.11574803292751312,0.11574803292751312,0.9932786226272583
trace_00020,symbolic_logic,correct,axis_1,0.17379742860794067,0.17379742860794067,0.9847814440727234
trace_00020,symbolic_logic,correct,axis_2,-0.10444498062133789,0.10444498062133789,0.9945306777954102
trace_00020,symbolic_logic,correct,axis_2,0.23142868280410767,0.23142868280410767,0.9728518724441528
trace_00021,temporal_ordering,correct,axis_2,0.12122302502393723,0.12122302502393723,0.9926252961158752
trace_00021,temporal_ordering,correct,axis_1,0.11354219168424606,0.11354219168424606,0.993533194065094
trace_00021,temporal_ordering,correct,axis_3,0.09958499670028687,0.09958499670028687,0.9950290322303772
trace_00021,temporal_ordering,correct,axis_2,0.1710144281387329,0.1710144281387329,0.9852685332298279
trace_00022,temporal_ordering,incorrect,axis_3,-0.12641364336013794,0.12641364336013794,0.9919776320457458
trace_00022,temporal_ordering,incorrect,axis_2,-0.20323249697685242,0.20323249697685242,0.9791305065155029
trace_00022,temporal_ordering,incorrect,axis_3,-0.05455637350678444,0.05455637350678444,0.9985106587409973
trace_00022,temporal_ordering,incorrect,axis_4,-0.2137719988822937,0.2137719988822937,0.976883590221405
trace_00022,temporal_ordering,incorrect,axis_3,0.3259272873401642,0.3259272873401642,0.9453948140144348
trace_00022,temporal_ordering,incorrect,axis_3,-0.28535616397857666,0.28535616397857666,0.958421528339386
trace_00022,temporal_ordering,incorrect,axis_3,0.19737455248832703,0.19737455248832703,0.9803281426429749
trace_00023,temporal_ordering,correct,axis_3,0.14201472699642181,0.14201472699642181,0.9898645281791687
trace_00023,temporal_ordering,correct,axis_3,-0.47234970331192017,0.47234970331192017,0.8814112544059753
trace_00023,temporal_ordering,correct,axis_3,0.480192095041275,0.480192095041275,0.8771633505821228
trace_00023,temporal_ordering,correct,axis_3,-0.25611764192581177,0.25611764192581177,0.9666456580162048
trace_00023,temporal_ordering,correct,axis_3,0.2795025408267975,0.2795025408267975,0.9601449370384216
trace_00024,temporal_ordering,correct,axis_3,0.46793031692504883,0.46793031692504883,0.8837653398513794
trace_00024,temporal_ordering,correct,axis_5,0.059458889067173004,0.059458889067173004,0.9982307553291321
trace_00024,temporal_ordering,correct,axis_3,-0.2099754363298416,0.2099754363298416,0.9777066707611084
trace_00024,temporal_ordering,correct,axis_3,0.309282511472702,0.309282511472702,0.9509701728820801
trace_00024,temporal_ordering,correct,axis_3,-0.18639123439788818,0.18639123439788818,0.9824755787849426
trace_00024,temporal_ordering,correct,axis_3,0.19595402479171753,0.19595402479171753,0.980613112449646
trace_00025,temporal_ordering,correct,axis_5,0.03352401405572891,0.03352401405572891,0.9994379281997681
trace_00025,temporal_ordering,correct,axis_1,0.16118772327899933,0.16118772327899933,0.9869237542152405
trace_00025,temporal_ordering,correct,axis_5,-0.113856740295887,0.113856740295887,0.9934971928596497
trace_00026,temporal_ordering,correct,axis_2,0.16790510714054108,0.16790510714054108,0.9858031868934631
trace_00026,temporal_ordering,correct,axis_3,0.19436441361904144,0.19436441361904144,0.9809293746948242
trace_00026,temporal_ordering,correct,axis_2,-0.050070419907569885,0.050070419907569885,0.9987456798553467
trace_00026,temporal_ordering,correct,axis_3,-0.13995158672332764,0.13995158672332764,0.9901583194732666
trace_00027,temporal_ordering,correct,axis_1,0.06926348805427551,0.06926348805427551,0.99759840965271
trace_00027,temporal_ordering,correct,axis_4,0.10480059683322906,0.10480059683322906,0.9944932460784912
trace_00027,temporal_ordering,correct,axis_4,-0.19825196266174316,0.19825196266174316,0.9801511168479919
trace_00028,temporal_ordering,correct,axis_3,-0.10088416188955307,0.10088416188955307,0.9948982000350952
trace_00028,temporal_ordering,correct,axis_5,-0.17260298132896423,0.17260298132896423,0.9849914908409119
trace_00029,temporal_ordering,correct,axis_2,0.1446520984172821,0.1446520984172821,0.989482581615448
trace_00029,temporal_ordering,correct,axis_4,0.1027936190366745,0.1027936190366745,0.9947026968002319
trace_00029,temporal_ordering,correct,axis_4,-0.18997403979301453,0.18997403979301453,0.9817891120910645
trace_00030,temporal_ordering,correct,axis_2,0.17816251516342163,0.17816251516342163,0.984001100063324
trace_00030,temporal_ordering,correct,axis_3,0.16799327731132507,0.16799327731132507,0.9857881665229797
trace_00030,temporal_ordering,correct,axis_4,-0.04605061560869217,0.04605061560869217,0.9989390969276428
trace_00030,temporal_ordering,correct,axis_4,0.19847998023033142,0.19847998023033142,0.980104923248291
trace_00030,temporal_ordering,correct,axis_4,-0.12751175463199615,0.12751175463199615,0.9918370842933655
trace_00030,temporal_ordering,correct,axis_3,-0.13352513313293457,0.13352513313293457,0.9910454154014587
trace_00030,temporal_ordering,correct,axis_3,-0.07871419191360474,0.07871419191360474,0.9968972206115723
trace_00030,temporal_ordering,correct,axis_3,-0.22958998382091522,0.22958998382091522,0.9732874631881714
